ID,NAME,DESCRIPTION
ukbench00111,Jersey Dress,"Short dress in lightly Cr?ped jersey with a low-cut front and back neckline. Narrow shoulder straps, elasticized seam at waist, and flared skirt."
ukbench00112,Slim-fit Treggings,"Treggings in superstretch twill. Mock pockets at front, regular pockets at back, and an elasticized waistband."
ukbench00113,Slim-fit Treggings,"Treggings in superstretch twill. Mock pockets at front, regular pockets at back, and an elasticized waistband."
ukbench00114,Slim-fit Treggings,"Treggings in superstretch twill. Mock pockets at front, regular pockets at back, and an elasticized waistband."
ukbench00115,Tiered Jumpsuit,"CONSCIOUS. Jumpsuit in woven fabric. Bodice with narrow adjustable shoulder straps, overlapping tiers, and partially open back section. Side pockets and concealed side zip. Made partly from recycled polyester."
ukbench00116,Denim Shorts,"5-pocket shorts in washed denim with heavily distressed details, button fly, and raw-edge hems."
ukbench00117,Ankle-length Jeans,"5-pocket, low-rise jeans in stretch denim with ultra-slim, ankle-length legs. Zips at hems."
ukbench00118,Ankle-length Jeans,"5-pocket, low-rise jeans in stretch denim with ultra-slim, ankle-length legs. Zips at hems."
ukbench00119,Flared Dress,"Flared, sleeveless dress in woven fabric with a printed pattern. Opening at back of neck with button. Unlined."
ukbench00120,Flared Dress,"Flared, sleeveless dress in woven fabric with a printed pattern. Opening at back of neck with button. Unlined."
ukbench00121,Flared Dress,"Flared, sleeveless dress in woven fabric with a printed pattern. Opening at back of neck with button. Unlined."
ukbench00122,Slim-fit Pants,5-pocket pants in superstretch washed twill with slim legs and a regular waist.
ukbench00123,Slim-fit Pants,5-pocket pants in superstretch washed twill with slim legs and a regular waist.
ukbench00124,Slim-fit Pants,5-pocket pants in superstretch washed twill with slim legs and a regular waist.
ukbench00125,Slim-fit Pants,5-pocket pants in superstretch washed twill with slim legs and a regular waist.
ukbench00126,Tank Top in Woven Fabric,"V-neck tank top in woven fabric with a slight sheen. Narrow shoulder straps, lining at top, and slits at sides."
ukbench00127,Maxi Dress,"Sleeveless, A-line maxi dress in jersey with a low-cut neckline at front and back."
ukbench00128,Maxi Dress,"Sleeveless, A-line maxi dress in jersey with a low-cut neckline at front and back."
ukbench00129,Sleeveless Tie Blouse,"Sleeveless tie blouse in woven fabric. Chest pockets, front buttons, and tie at waist."
ukbench00130,Sleeveless Tie Blouse,"Sleeveless tie blouse in woven fabric. Chest pockets, front buttons, and tie at waist."
ukbench00131,Ribbed Skirt,"Short, flared skirt in ribbed jersey with concealed elastication at waist."
ukbench00132,Cr?pe Dress,"V-neck dress in woven Cr?pe fabric with a printed pattern. Tie at neck, long, gently flared sleeves, and elastication at waist. Unlined."
ukbench00133,Cr?pe Dress,"V-neck dress in woven Cr?pe fabric with a printed pattern. Tie at neck, long, gently flared sleeves, and elastication at waist. Unlined."
ukbench00134,Lace Cardigan with Fringe,"Long, crocheted lace cardigan with short sleeves, fringe at hem, and no buttons."
ukbench00135,Patterned Camisole Top,"Wide-cut, V-neck camisole top in woven fabric with a printed pattern. Narrow, adjustable shoulder straps."
ukbench00136,Patterned Camisole Top,"Wide-cut, V-neck camisole top in woven fabric with a printed pattern. Narrow, adjustable shoulder straps."
ukbench00137,Patterned Camisole Top,"Wide-cut, V-neck camisole top in woven fabric with a printed pattern. Narrow, adjustable shoulder straps."
ukbench00138,Short Jersey Tank Top,Short tank top in jersey with narrow shoulder straps.
ukbench00139,Short Jersey Tank Top,Short tank top in jersey with narrow shoulder straps.
ukbench00140,Short Jersey Tank Top,Short tank top in jersey with narrow shoulder straps.
ukbench00141,Lace Shorts,Short lace shorts with an elasticized drawstring waistband and jersey lining.
ukbench00142,Lace Shorts,Short lace shorts with an elasticized drawstring waistband and jersey lining.
ukbench00143,Denim Shorts High Waist,"Short, 5-pocket shorts in washed denim with heavily distressed details, a high waist, and raw-edge hems."
ukbench00144,Denim Shorts High Waist,"Short, 5-pocket shorts in washed denim with heavily distressed details, a high waist, and raw-edge hems."
ukbench00145,Sleeveless Blouse,"Straight-cut, sleeveless blouse in woven fabric. Collar, chest pocket, and buttons at front."
ukbench00146,Sleeveless Blouse,"Straight-cut, sleeveless blouse in woven fabric. Collar, chest pocket, and buttons at front."
ukbench00147,Sleeveless Blouse,"Straight-cut, sleeveless blouse in woven fabric. Collar, chest pocket, and buttons at front."
ukbench00148,Short Lace Top,Short top in cotton lace with short sleeves.
ukbench00149,Sleeveless Dress,"Sleeveless dress in jersey. Seam at waist, low-cut neckline at back, and a circle skirt."
ukbench00150,Sleeveless Dress,"Sleeveless dress in jersey. Seam at waist, low-cut neckline at back, and a circle skirt."
ukbench00151,Chiffon Kimono,Short kimono in chiffon with short sleeves and no buttons. Overlocked hem.
ukbench00152,Chiffon Kimono,Short kimono in chiffon with short sleeves and no buttons. Overlocked hem.
ukbench00153,Chiffon Kimono,Short kimono in chiffon with short sleeves and no buttons. Overlocked hem.
ukbench00154,Chiffon Kimono,Short kimono in chiffon with short sleeves and no buttons. Overlocked hem.
ukbench00155,Circle Skirt,Short circle skirt in textured jersey with an elasticized waistband and visible back zip.
ukbench00156,Circle Skirt,Short circle skirt in textured jersey with an elasticized waistband and visible back zip.
ukbench00157,Short Jersey Tank Top,Short tank top in jersey with narrow shoulder straps.
